CTUID,CT_Name,Pct_Owner_STIR_30plus,Median_Household_Income_2020
5350001.00,5350001.00,18.9,137000.0
5350002.00,5350002.00,15.7,85000.0
5350003.00,5350003.00,45.9,89000.0
5350004.00,5350004.00,29.2,50000.0
5350005.00,5350005.00,32.3,66000.0
5350007.01,5350007.01,39.1,57200.0
5350007.02,5350007.02,31.3,53600.0
5350008.01,5350008.01,33.5,97000.0
5350008.02,5350008.02,37.9,90000.0
5350009.00,5350009.00,,45200.0
5350010.01,5350010.01,27.2,110000.0
5350010.02,5350010.02,27.3,97000.0
5350011.01,5350011.01,33.7,97000.0
5350011.02,5350011.02,41.0,88000.0
5350011.03,5350011.03,41.9,84000.0
5350012.01,5350012.01,43.9,84000.0
5350012.03,5350012.03,34.4,98000.0
5350012.04,5350012.04,32.8,95000.0
5350013.01,5350013.01,29.7,91000.0
5350013.02,5350013.02,35.0,100000.0
5350014.00,5350014.00,43.9,92000.0
5350015.00,5350015.00,30.4,94000.0
5350016.00,5350016.00,26.7,95000.0
5350017.01,5350017.01,31.7,94000.0
5350017.02,5350017.02,35.7,69500.0
5350018.00,5350018.00,25.7,105000.0
5350019.00,5350019.00,23.5,80000.0
5350020.00,5350020.00,18.3,147000.0
5350021.00,5350021.00,27.0,89000.0
5350022.00,5350022.00,14.3,149000.0
5350023.00,5350023.00,16.2,134000.0
5350024.00,5350024.00,17.8,115000.0
5350025.00,5350025.00,17.3,84000.0
5350026.00,5350026.00,20.1,98000.0
5350027.00,5350027.00,17.6,98000.0
5350028.01,5350028.01,22.4,118000.0
5350028.02,5350028.02,19.8,109000.0
5350029.00,5350029.00,17.9,92000.0
5350030.00,5350030.00,34.6,76500.0
5350031.00,5350031.00,35.0,52000.0
5350032.00,5350032.00,37.7,41600.0
5350033.00,5350033.00,38.0,36400.0
5350034.01,5350034.01,39.0,62400.0
5350034.02,5350034.02,43.8,61600.0
5350035.00,5350035.00,43.4,66000.0
5350036.00,5350036.00,36.7,65500.0
5350037.00,5350037.00,38.1,61200.0
5350038.00,5350038.00,30.5,51600.0
5350039.00,5350039.00,44.4,63600.0
5350040.00,5350040.00,31.3,90000.0
5350041.00,5350041.00,29.7,97000.0
5350042.00,5350042.00,20.6,86000.0
5350043.00,5350043.00,25.6,96000.0
5350044.01,5350044.01,25.8,95000.0
5350044.02,5350044.02,36.1,80000.0
5350045.00,5350045.00,20.9,85000.0
5350046.00,5350046.00,27.2,83000.0
5350047.02,5350047.02,31.4,54400.0
5350047.03,5350047.03,26.2,115000.0
5350047.04,5350047.04,17.0,114000.0
5350048.00,5350048.00,18.1,93000.0
5350049.00,5350049.00,14.4,106000.0
5350050.01,5350050.01,25.2,103000.0
5350050.03,5350050.03,26.6,106000.0
5350050.04,5350050.04,17.8,90000.0
5350051.00,5350051.00,21.2,102000.0
5350052.00,5350052.00,22.6,104000.0
5350053.00,5350053.00,26.6,84000.0
5350054.00,5350054.00,26.8,72500.0
5350055.00,5350055.00,21.6,87000.0
5350056.00,5350056.00,25.5,94000.0
5350057.00,5350057.00,28.6,84000.0
5350058.00,5350058.00,28.3,85000.0
5350059.00,5350059.00,18.3,96000.0
5350060.00,5350060.00,23.9,80000.0
5350061.00,5350061.00,0.0,44400.0
5350062.01,5350062.01,50.9,64000.0
5350062.03,5350062.03,49.1,62400.0
5350062.04,5350062.04,51.1,52800.0
5350063.03,5350063.03,40.9,70000.0
5350063.04,5350063.04,47.7,53600.0
5350063.05,5350063.05,53.6,60400.0
5350063.06,5350063.06,46.5,57200.0
5350064.00,5350064.00,27.5,80000.0
5350065.01,5350065.01,0.0,60800.0
5350065.02,5350065.02,45.5,50400.0
5350066.00,5350066.00,29.0,67000.0
5350067.00,5350067.00,16.9,153000.0
5350068.00,5350068.00,19.2,101000.0
5350069.00,5350069.00,17.7,135000.0
5350070.00,5350070.00,12.4,83000.0
5350071.00,5350071.00,18.1,109000.0
5350072.01,5350072.01,19.5,73000.0
5350072.02,5350072.02,16.9,106000.0
5350073.00,5350073.00,16.1,94000.0
5350074.00,5350074.00,16.8,90000.0
5350075.00,5350075.00,14.1,89000.0
5350076.00,5350076.00,17.4,97000.0
5350077.00,5350077.00,10.2,110000.0
5350078.00,5350078.00,12.3,87000.0
5350079.00,5350079.00,14.8,126000.0
5350080.01,5350080.01,15.4,93000.0
5350080.02,5350080.02,29.5,63600.0
5350081.00,5350081.00,12.7,112000.0
5350082.00,5350082.00,12.4,115000.0
5350083.00,5350083.00,14.1,76500.0
5350084.00,5350084.00,15.2,118000.0
5350085.00,5350085.00,18.7,76000.0
5350086.00,5350086.00,16.6,278000.0
5350087.00,5350087.00,23.9,151000.0
5350088.00,5350088.00,34.7,90000.0
5350089.00,5350089.00,39.1,84000.0
